Zone,TrafficScore,AQIScore,RoadScore,TransportScore,UFI
Baner,32.586150739365515,21.86349630789219,34.117647058823536,26.66666666666668,29.32386378448396
Hadapsar,36.0250146570256,32.75804525886473,20.0,0.0,26.599517177526423
Kothrud,32.04872646733112,25.847734573505427,48.235294117647065,11.851851851851851,30.706260831616
Shivajinagar,36.57392955621455,31.08779828131484,100.0,50.37037037037038,49.95707694837009
Wakad,33.617679629991535,27.810501598224768,74.11764705882354,80.0,47.22322666331752
